Regions,County,IP Name,Website URL,Site City,Description,Latitude,Longitude,Subcategories,Minor Categories,Image URL,Location
Capital-Saratoga,Albany County,"Cocca's Inn & Suites, Wolf Rd",http://www.coccas.com,Albany,"Continental breakfast, featuring deluxe accommodations, and beautiful private Jacuzzi, honeymoon, and Executive suites.   Shopping and dining nearby. HBO, WiFi, high speed internet access.",42.71,-73.82,Hotels & Motels,Hotels & Motels,,"(42.71, -73.82)"
Capital-Saratoga,Albany County,Comfort Inn Albany Airport,http://www.comfortinn.com/hotel/ny408,Latham,"""Early Bird"" Complimentary Continental Breakfast, Park-n-Fly Program, Courtesy van to/from Airport, rooms with microfridge, hairdryer, iron/board, fitness room. All rooms free high speed internet access",42.754133,-73.816565,Hotels & Motels,Hotels & Motels,,"(42.754133, -73.816565)"
Capital-Saratoga,Albany County,Comfort Inn Glenmont,http://www.choicehotels.com/hotel/NY219,Glenmont,"Conference facilities. Air conditioned rooms, Non-smoking rooms available, TV",42.62296,-73.778193,Hotels & Motels,Hotels & Motels,,"(42.62296, -73.778193)"
Capital-Saratoga,Albany County,CrestHill Suites,http://www.cresthillsuites.com,Albany,Designed specifically with extended stay and frequent business travelers in mind. The suites feature spacious works areas and state-of-the-art technology. Free high speed internet connection.,42.69,-73.82,Hotels & Motels,Hotels & Motels,,"(42.69, -73.82)"
Capital-Saratoga,Albany County,Days Inn,http://daysinn.com,Albany,"Just minutes from downtown Albany, restaurants nearby. Standard rooms and spacious suites available, includes deluxe continental breakfast, high speed internet access, indoor pool and spa. Corporate and group rates available.",42.71791,-73.834318,Hotels & Motels,Hotels & Motels,,"(42.71791, -73.834318)"
Capital-Saratoga,Albany County,Days Inn Albany Guilderland,http://www.daysinn.com/hotel/13173,Albany,"Across from SUNY Albany, Free Continental Breakfast Bar.  4-mi. W. from Downtown Albany, Pepsi Arena & State Museum",42.677633,-73.828839,Hotels & Motels,Hotels & Motels,,"(42.677633, -73.828839)"
Capital-Saratoga,Albany County,Desmond Hotel & Conference Center,http://www.desmondhotels.com,Albany,"Old-world charm, state of the art conference technology and full-service banquet and meeting facilities.  18th century décor, exemplary service and classic colonial accommodation. 18th C charm & elegance of Colonial Williamsburg. Packages available for annual New Years Eve Festival. Many special events throughout the year.",42.7289592,-73.7976444,Convention Centers|Hotels & Motels,Convention centers|Hotels & Motels,http://fallgetaways.iloveny.com/d3k/mem/all/7871/1964.jpg,"(42.7289592, -73.7976444)"
Capital-Saratoga,Albany County,Econo Lodge,http://econolodge.com,Albany,"101 rooms, 13 rooms with jacuzzi's/cable TV, free HBO, Complimentary continental breakfast, free local calls, free coffee 24 hours, fitness center, meeting rooms, free parking.",42.718714,-73.836246,Hotels & Motels,Hotels & Motels,,"(42.718714, -73.836246)"
Capital-Saratoga,Albany County,"Econo Lodge, Glenmont",http://www.choicehotels.com/hotel/ny253,Glenmont,"Conveniently located, affordable rates and clean, comfortable roooms are all part of your stay with Choice Hotels.  We also offer high speed wireless internet access in our common areas, meeting space and sleeping rooms and a complimentary continental breakfast. Experience world class hospitality when you stay with us.",42.62,-73.78,Hotels & Motels,Hotels & Motels,,"(42.62, -73.78)"
Capital-Saratoga,Albany County,"Econo Lodge, Route 155",http://www.choicehotels.com/hotel/NY257,Latham,"Conference facilities, Health Club/Exercise room, Pets allowed, Outdoor Pool.  Air conditioned rooms and nonsmoking rooms available.",42.7372295,-73.7674897,Hotels & Motels,Hotels & Motels,,"(42.7372295, -73.7674897)"
Capital-Saratoga,Albany County,Extended Stay America Albany,http://www.extendedstayhotels.com,Albany,"We deliver the best in high quality, high value, low cost lodging for the Road Warrior.",42.69,-73.82,Hotels & Motels,Hotels & Motels,,"(42.69, -73.82)"
Capital-Saratoga,Albany County,Fairfield Inn by Marriott Albany SUNY,http://www.marriott.com/albfi,Albany,"Centrally located between airport and city of Albany, situated directly across from the SUNY Albany Campus on Washington Ave.",42.687532,-73.815035,Hotels & Motels,Hotels & Motels,,"(42.687532, -73.815035)"
Capital-Saratoga,Albany County,Governors Motor Inn,,Guilderland,"Air conditioned rooms available, kitchenettes available, TV in room available",42.711274,-73.925826,Hotels & Motels,Hotels & Motels,,"(42.711274, -73.925826)"
Capital-Saratoga,Albany County,Gregory House Inn,http://www.gregoryhouse.com,Averill Park,"Find personal attention to your travel needs and desires, combined with exceptionally comfortable beds, large rooms, and a fine dining restaurant at the Gregory House Country Inn and Restaurant. The Inn is located in the outskirts of Albany and Troy, New York in the small village of Averill Park.",42.635486,-73.563414,B&Bs & Country Inns,B&Bs & Country Inns,,"(42.635486, -73.563414)"
Capital-Saratoga,Albany County,Hampton Inn - Albany/Latham,http://www.hamptoninn.com,Cohoes,"126 room property consisting of kings and doubles. Free continental breakfast, free HBO and local phone calls.",42.76928,-73.7537416,Hotels & Motels,Hotels & Motels,,"(42.76928, -73.7537416)"
Capital-Saratoga,Albany County,Hampton Inn & Suites Albany Airport,http://www.albanyairportsuites.hamptoninn.com,Latham,"Accommodates business and leisure travelers with both rooms and suites. Two miles west of the Albany I'nal Airport, this state of the art facility is nestled in British American Airport Park, providing travelers with an easy transport to Albany County, City facilities and highway access to surrounding Clifton Park, Saratoga and Columbia counties. Minutes from businesses and sports arenas.",42.7257253,-73.7684116,Hotels & Motels,Hotels & Motels,,"(42.7257253, -73.7684116)"
Capital-Saratoga,Albany County,"Hampton Inn & Suites, Albany Downtown",http://www.hamptonsuitesalbany.com,Albany,"Features a total of 165 lavishly appointed guest rooms, including 35 suites with refrigerators and microwaves, 8 whirlpool suites, and one executive two room suite with a full kitchen all equipped with high speed wireless internet access. The 10-story structure features meeting facilities for up to 100 people and a friendly, professional staff with a “can-do” approach to hospitality.",42.6533739,-73.7515013,Hotels & Motels,Hotels & Motels,http://fallgetaways.iloveny.com/d3k/mem/all/8564/2109.jpg,"(42.6533739, -73.7515013)"
Capital-Saratoga,Albany County,"Hampton Inn, Wolf Road",http://www.albanywolfroad.hamptoninn.com,Albany,"Newly renovated, 2 Miles from Airport, free airport transportation, free hot breakfast buffet, convenient to shopping and business, Free WiFi, free local calls.",42.71,-73.82,Hotels & Motels,Hotels & Motels,,"(42.71, -73.82)"
Capital-Saratoga,Albany County,Hilton Garden Inn Albany Airport,http://www.hgialbany.com,Albany,Group friendly; closest to Albany International Airport yet surrounded by beautiful trees and lawns. Convenient to all major highways and attractions including Saratoga Springs.,42.73,-73.8,Hotels & Motels,Hotels & Motels,,"(42.73, -73.8)"
Capital-Saratoga,Albany County,Hilton Garden Inn at Albany Medical Center,http://www.albanymedicalcenter.hgi.com,Albany,"Conveniently located 1.25 miles from downtown Albany. Situated on the corner of New Scotland & Holland Avenues, the Hilton Garden Inn is within walking distance of Albany Law School, Albany College of Pharmacy, and Albany Medical College. Complimentary transportation is available upon request to the Albany International Airport, Amtrak and the Bus Station.",42.65,-73.78,Hotels & Motels|Restaurants,American|Hotels & Motels,,"(42.65, -73.78)"
Capital-Saratoga,Albany County,"Holiday Inn Albany, Wolf Road",http://www.hialbanywolf.com/,Albany,"Whether considering Albany hotels for an upcoming meeting, government business, a memorable Albany wedding or simply vacationing, make your destination the stylish Holiday Inn Albany. Conveniently located in suburban Albany, the Holiday Inn is close to many corporations.",42.7232627,-73.7974567,Convention Centers|Hotels & Motels,Hotels & Motels,,"(42.7232627, -73.7974567)"
Capital-Saratoga,Albany County,"Holiday Inn Express, Albany Downtown",http://www.hiealbanydowntown.com,Albany,"Conveniently located in historic downtown Albany near the Riverfront and Empire State Plaza and offering business and leisure travelers contemporary hotel accommodations. We provide a courtesy shuttle to and from the airport, train station, local businesses and attractions as well as the ONLY free on-site parking in downtown Albany!",42.645487,-73.750451,Hotels & Motels,Hotels & Motels,,"(42.645487, -73.750451)"
Capital-Saratoga,Albany County,"Holiday Inn Express, Albany University Area",http://www.hiexpress.com/albany-western,Albany,"Air conditioned rooms. Non-smoking rooms available, TV,  indoor pool and conference facilities. Free continental breakfast.",42.679011,-73.836563,Hotels & Motels,Hotels & Motels,,"(42.679011, -73.836563)"
Capital-Saratoga,Albany County,Holiday Inn Express & Suites / Conference Center,http://www.hielatham.com,Latham,"Our choice Latham accommodations are ideally located off I-87, just ten miles from downtown Albany and near many businesses and government offices. Travelers looking for lodging in Latham can enjoy a stay at our smoke free hotel near the Albany Airport, four universities and the famous Saratoga Race Course.",42.7641405,-73.7554663,Hotels & Motels,Hotels & Motels,,"(42.7641405, -73.7554663)"
Capital-Saratoga,Albany County,Holiday Inn Turf,http://www.holiday-inn.com/albany-wolfny,Albany,"Recently renovated featuring indoor & outdoor pools, Sauna, hot tub, full service resaturant & new Martini & Wine Bar. Over 20,000 sq. feet of meeting and banquet space. Less than 1 mile to NYS Thruway and Albany international.",42.7232627,-73.7974567,Convention Centers|Hotels & Motels,Convention centers|Hotels & Motels,,"(42.7232627, -73.7974567)"
Capital-Saratoga,Albany County,Homewood Suites by Hilton,http://www.albanyhomewoodsuites.com,Albany,"Complimentary hot/cold buffet breakfast;  Welcome home reception evening buffet style light meal Mon-Thurs, courtyard with BBQ area, basketball court, indoor pool, whirlpool, health club room, pets allowed, fully equipped kitchen, food shopping service and airport shuttle.",42.723662,-73.801485,Hotels & Motels,Hotels & Motels,,"(42.723662, -73.801485)"
Capital-Saratoga,Albany County,Hotel Indigo,http://www.ichotelsgroup.com/h/d/in/1/en/hotel/albil,LATHAM,"Sophisticated, Full-service hotel near the Albany International Airport (ALB), providing a complimentary shuttle to the airport. Our boutique hotel in Albany, NY is ideal for travelers who desire an oasis to escape from the ordinary, but value the traditional hospitality of a standard hotel.",42.7470225,-73.7590088,Hotels & Motels,Hotels & Motels,,"(42.7470225, -73.7590088)"
Capital-Saratoga,Albany County,Howard Johnson Inn,http://www.hojoalbany.com,Albany,95 unit with restaurant on premises. Plenty of truck parking and an outdoor pool.,42.72,-73.83,Hotels & Motels,Hotels & Motels,,"(42.72, -73.83)"
Capital-Saratoga,Albany County,La Perla,http://www.gregoryhouse.com,Averill Park,"You will find personal attention to your travel needs and desires, combined with exceptionally comfortable beds, large rooms, and a fine dining restaurant at the Gregory House Country Inn and Restaurant. The Inn is located in the outskirts of Albany and Troy,  in the small village of Averill Park.",42.635486,-73.563414,B&Bs & Country Inns|Restaurants,B&Bs & Country Inns|Italian,,"(42.635486, -73.563414)"
Capital-Saratoga,Albany County,LaQuinta Inn & Suites,http://www.LQ.com,Latham,"Located off the Latham Circle, 10 minutes from downtown Albany/ Airport.  Free high speed internet access & HBO.  Deluxe continental breakfast and Business Center- meeting room.  King Jacuzzi Suites, hair dryers, coffee makers, microfridge and iron.",42.75,-73.76,Hotels & Motels,Hotels & Motels,,"(42.75, -73.76)"
Capital-Saratoga,Albany County,La Quinta Inn & Suites Albany Airport,http://www.laquintaalbanyairport.com,Latham,"78 rooms, 16 suites with an indoor pool and jacuzzi. Fitness room, business center, lobby with fireplace and a hot breakfast. Suites with jacuzzi in rooms. Amenities include coffee maker, in-room safe, iron and ironing board, refrigerator and microwave.",42.75,-73.76,Hotels & Motels,Hotels & Motels,,"(42.75, -73.76)"
Capital-Saratoga,Albany County,Mansion Hill Inn & Restaurant,http://www.mansionhill.com,Albany,"Albany Mansion Hill Inn & Restaurant,  Albany County AAA approved historic 3 Diamond bed & breakfast, inn & restaurant. Eight room inn and fine dining restaurant.",42.644696,-73.760063,B&Bs & Country Inns|Restaurants,American|B&Bs & Country Inns,,"(42.644696, -73.760063)"
Capital-Saratoga,Albany County,Microtel Inn,,Latham,"Complimentary Breakfast, Conference facilities. AC, cable/satellite TV, nonsmoking rooms available. Wheelchair accessible rooms available.  Wifi, high-speed wireless  internet free.  Free local & long distance call in Continental US.",42.752576,-73.7714529,Hotels & Motels,Hotels & Motels,,"(42.752576, -73.7714529)"
Capital-Saratoga,Albany County,Monte Mario Motel,,Latham,"Full service motel, centraly located near shopping, and Albany. 65 rooms",42.75,-73.77,Hotels & Motels,Hotels & Motels,,"(42.75, -73.77)"
Capital-Saratoga,Albany County,"Morgan State House, The",http://www.statehouse.com,Albany,"Voted ""Best in the Capital/Saratoga Region"" as an Inn, in the European Tradition. Our location in the heart of the city is ideal for introducing the history of downtown Albany.",42.656951,-73.765697,B&Bs & Country Inns,B&Bs & Country Inns,http://fallgetaways.iloveny.com/d3k/mem/all/3982/1262.jpg,"(42.656951, -73.765697)"
Capital-Saratoga,Albany County,Motel 6,http://www.motel6.com,Albany,"Motel 6 began the concept of a nationwide economy chain -- where travelers can find consistent quality at the best price of any national, brand-name lodging company. Well behaved pets under 70 lbs accepted. Data ports.",42.678984,-73.782529,Hotels & Motels,Hotels & Motels,,"(42.678984, -73.782529)"
Capital-Saratoga,Albany County,Motel 6,http://www.motel6.com,ALBANY,"Motel 6 is a major chain of budget motels with more than 1000 locations in the United States and Canada, and is the largest owned and operated hotel chain ...",42.7175514,-73.8328676,Hotels & Motels,Hotels & Motels,,"(42.7175514, -73.8328676)"
Capital-Saratoga,Albany County,Quality Inn - Central,http://www.qualityinn.com/hotel/ny120,Albany,"Located 3 miles from the Albany International Airport. This interior corridor, 2 story hotel is just minutes from the State Capital, Pepsi Arena, Empire State Plaza and Shopping Centers. we offer Free: Deluxe Continental breakfast, WiFi throughout and HBO.",42.719591,-73.836053,Hotels & Motels,Hotels & Motels,,"(42.719591, -73.836053)"
Capital-Saratoga,Albany County,"Quality Inn & Suites, Albany Airport",http://www.choicehotel.com/hotel/ny024,Latham,"Welcome reception, hospitality room, deluxe continental breakfast, traditonal rooms and deluxe suites with pull-out sofa. All rooms equipped with wireless internet, data ports, refrigerators, microwaves, coffee machines, iron/board and hair dryer. Shopping and theatre only 1/4 mile, shuttle Service to Albany International Airport.",42.7538081,-73.7703798,Hotels & Motels,Hotels & Motels,,"(42.7538081, -73.7703798)"
Capital-Saratoga,Albany County,Red Carpet Inn,http://www.redcarpetinnalbany.com,Albany,"Located 1/2 mile from exit 6, I-90, with easy access to Pepsi Arena & other downtown attractions.",42.672105,-73.750872,Hotels & Motels,Hotels & Motels,,"(42.672105, -73.750872)"
Capital-Saratoga,Albany County,Red Carpet Inn & Suites,http://www.bookroomsnow.com,Albany,"66 rooms across from SUNY Albany, state offices, minutes from downtown Albany, airport, Empire State Plaza, meeting facilities, 24 hr. coffee available.",42.69,-73.82,Hotels & Motels,Hotels & Motels,,"(42.69, -73.82)"
Capital-Saratoga,Albany County,Red Roof Inn,http://www.redroof-albany.com,Albany,"Close to SUNY Albany, Empire State Plaza, Saratoga Performing Arts Center & Raceway.",42.723526,-73.80171,Hotels & Motels,Hotels & Motels,,"(42.723526, -73.80171)"
Capital-Saratoga,Albany County,Regency Inn,,Albany,"Fully renovated, 5 minutes from airport. Conference facilities, Outdoor pool, Cable/satellite TV, Direct dial phone in room.",42.713433,-73.826949,Hotels & Motels,Hotels & Motels,,"(42.713433, -73.826949)"
Capital-Saratoga,Albany County,Regency Inn & Suites,,Albany,"Our hotel is located within minutes of downtown Albany and many major attractions as well as historical sites and all major shopping centers. We offer complimentary breakfast, health club privileges. Available are meeting rooms as well as our Jacuzzi suites. Pets are welcome.",42.628165,-73.7767456,Hotels & Motels,Hotels & Motels,,"(42.628165, -73.7767456)"
Capital-Saratoga,Albany County,Residence Inn by Marriott,,Latham,All suites hotel with full size living area and fully equipped kitchen.,42.77,-73.82,Hotels & Motels,Hotels & Motels,,"(42.77, -73.82)"
Capital-Saratoga,Albany County,Scottish Inns,http://www.bookroomsnow.com,Albany,"Newly renovated 31 rooms. 25 inch cable TV, HBO, hair dryer, special corporate, government, extended rates.",42.7,-73.82,Hotels & Motels,Hotels & Motels,,"(42.7, -73.82)"
Capital-Saratoga,Albany County,SpringHill Suites by Marriott,http://www.springhillsuites.com,ALBANY,SpringHill Suites by Marriott: Style and space. Beautifully priced.,42.703667,-73.8152719,Hotels & Motels,Hotels & Motels,,"(42.703667, -73.8152719)"
Capital-Saratoga,Albany County,"Super 8 Latham/Albany, Troy Area",,Latham,"Complimentary superstart breakfast. AC, Cable/satellite TV, Modem connection. Non-smoking rooms available. Wheelchair accessible rooms available.High speed wireless internet access available.",42.7556664,-73.7746736,Hotels & Motels,Hotels & Motels,,"(42.7556664, -73.7746736)"
Capital-Saratoga,Albany County,Super 8 Motel,http://www.super8.com,Albany,"AC, non-smoking rooms available and TV.",42.716685,-73.8302719,Hotels & Motels,Hotels & Motels,,"(42.716685, -73.8302719)"
Capital-Saratoga,Albany County,The Green Park Inn & Conference Center,http://www.greenparkinns.com,ALBANY,Renovated rooms and conference facility for up to 150 people. Restaurant/lounge on premise.,42.713433,-73.826949,Hotels & Motels,Hotels & Motels,,"(42.713433, -73.826949)"
Capital-Saratoga,Albany County,The Inn on South Lake,http://www.theinnonsouthlake.com,Albany,"A comfortable, urban Bed & Breakfast housed in an 1890s era home that blends Mission-style influences with modern amenities.  Includes daily continental breakfast, free local telephone calls and free wireless internet access.  Walk to the Capitol, the Empire State Plaza, area colleges and medical centers.  Convenient location and easy accessibility.  Off-street parking available.",42.65,-73.78,B&Bs & Country Inns,B&Bs & Country Inns,,"(42.65, -73.78)"
Capital-Saratoga,Albany County,Thompson's Lake State Park,http://www.nysparks.com,Voorheesville,"Nestled in mountains 4-mi. from Helderberg Escarpment. Camping, sandy beach, volleyball court, horseshoe pits, playing field, swingsets, carry-in boat access, rental row boats, fishing, nature trails. Interpretive and recreational programs. 18 miles SW of Albany.",42.653967,-73.9287365,Camping|Land Adventures|Nature|Snow Adventures|Water Adventures,Beaches|Camping|Fishing|Hiking|Houseboat rentals|Kayaking / Canoeing|Nature Centers|Public Campgrounds|Skiing (XC)|State parks,,"(42.653967, -73.9287365)"
Capital-Saratoga,Albany County,TownePlace Suites by Marriott Albany Downtown/Medical Center,http://www.tpsalbanydowntownmedcenter.com,Albany,"Free continental breakfast buffet, 27"" flat screen TVs in the room. Centrally located between Airport & city of Albany, situated directly across from SUNY Albany campus on Washington Ave.",42.687089,-73.814257,Hotels & Motels,Hotels & Motels,,"(42.687089, -73.814257)"
Capital-Saratoga,Albany County,"TownePlace Suites by Marriott, SUNY",http://www.marriott.com/albta,Albany,"Perfect location when traveling to Albany for business, relocation, or pleasure. We make corporate housing easy and convenient. Only minutes to most everything. The Albany NanoCollege is a minute drive which houses highly visited companies such as Sematech, IBM, Sony, Tokyo Electron, ASML, and many others within the growing Albany Tech Valley.",42.687089,-73.814257,Hotels & Motels,Hotels & Motels,,"(42.687089, -73.814257)"
Capital-Saratoga,Albany County,Travelodge Inn & Suites (Cocca's),http://www.coccas.com,Latham,"Featuring deluxe accommodations, and beautiful, private Jacuzzi, honeymoon, and Executive suites. Great dining options nearby. The Loudon Room, banquets facility & meetings seat up to 200. HBO, High Speed Internet Access, WiFi.",42.75,-73.76,Hotels & Motels,Hotels & Motels,,"(42.75, -73.76)"
Capital-Saratoga,Albany County,Wingate Inn,,Latham,"Complimentary deluxe breakfast buffet, Calaway Grill Restaurant (casual attire), short drive to downtown Albany & Saratoga.",42.7290821,-73.7958997,Hotels & Motels,Hotels & Motels,,"(42.7290821, -73.7958997)"
Chautauqua-Allegheny,Allegany County,37 Park Circle B&B,http://www.37parkcircle.com,Angelica,"1819 Greek revival house with two bright, floor-size apartments in historic Angelic.  Nearby forest trails, streams, country roads, golf courses and many more outdoor activities.",42.305279,-78.016127,Vacation Rentals,Vacation Rentals,,"(42.305279, -78.016127)"
Chautauqua-Allegheny,Allegany County,All Adventures Campground,http://www.alladventurescampground.com,FRIENDSHIP,"Scenic campground w/spacious and comfortable grounds; swimming pools, volleyball, fishing, horeshoe pits and basketball, stream w/vintage railroad trestle and wading pools.",42.2011178,-78.1451413,Camping,Camping,,"(42.2011178, -78.1451413)"
Chautauqua-Allegheny,Allegany County,Backroads Cabin Rental,,Belmont,"Modern electrical and bath conveniences, wood heating, pond, 1000s of acres of state forests; biking, hiking, horseback, and skiing trails; hunting, camping and snowmobiling.",42.270402,-77.877661,Cabins & Cottages,Cabins & Cottages,,"(42.270402, -77.877661)"
Chautauqua-Allegheny,Allegany County,Breezy Point Campsite,http://www.breezypointcampground.com/,Scio,"Family oriented. Boating, fishing, swimming, Round/square dancing, putt-putt golf.",42.18,-77.98,Camping,Privately-owned Campgrounds,,"(42.18, -77.98)"
Chautauqua-Allegheny,Allegany County,Budget Inn,http://www.wellsvilleinn.com,WELLSVILLE,"Newly renovated, cozy rooms located in the heart of scenic Allegany County in historic Wellsville; rv, bus, & truck parking; smoking & non-smoking rooms available; choice of queen, king, full size beds",42.133093,-77.916571,Hotels & Motels,Hotels & Motels,,"(42.133093, -77.916571)"
Chautauqua-Allegheny,Allegany County,Country Barn B & B Retreat,http://sites.google.com/site/countrybarnbandb,ALMOND,"Home that sleeps 6 in Almond, NY",42.3147848,-77.7420773,B&Bs & Country Inns,,,"(42.3147848, -77.7420773)"
Chautauqua-Allegheny,Allegany County,Country Cabin Manor,http://www.countrycabinmanor.com,Alfred Station,"Log home, Full Breakfast, whirlpool, A/C, internet, TV, VCR/DVD, in room phones, 3 mins to A.U. and ASC, no smoking or pets, no small children.",42.26,-77.8,B&Bs & Country Inns,B&Bs & Country Inns,,"(42.26, -77.8)"
Chautauqua-Allegheny,Allegany County,Cuba Econo Lodge,http://www.econolodge.com/hotel-cuba-new_york-NY313,Cuba,"Comfortable, clean accommodations with beautiful views of historic Cuba, NY.  Easy access to Rt. I-86.  Cable TV, coffee & donuts.  All units computer compatible. Free high speed wireless internet, rooms have refrigerators, microwaves, hair dryers, Free local calls.",42.226062,-78.2679331,Hotels & Motels,Hotels & Motels,,"(42.226062, -78.2679331)"
Chautauqua-Allegheny,Allegany County,Cuba Lakefront Home,http://www.vrbo.com/304549,CUBA,"Beautiful 4bdrm/2ba lakefront house with gorgeous views on Cuba Lake;  open floor plan;  kitchen, dining area, living room; double lot with plenty of space and privacy; 2 porches with fantastic views; 1 queen bed, 6 twin beds; gas/electric bbq grill.",42.2418412,-78.2738191,Vacation Rentals,Vacation Rentals,,"(42.2418412, -78.2738191)"
Chautauqua-Allegheny,Allegany County,"""East of Eden"" Lakefront Rental",http://www.vrbo.com/56143,CUBA,"Relaxing lakefront retreat with 4 bedrooms, 1 bath, full kitchen, living room w/fireplace, laundry room, screened in front porch, and a den on Cuba Lake; gas grill, charcoal grill, firepit",42.2502486,-78.2917472,Vacation Rentals,Vacation Rentals,,"(42.2502486, -78.2917472)"
